report_date,account_id,campaign_id,impressions,clicks,costs,conversions
2020-04-01 00:00:00,1001396452,30136449,2668,2,140.075,0
2020-04-01 00:00:00,1001289337,24471016,332,0,0.0,0
2020-04-01 00:00:00,1001289337,28439198,22,0,0.0,0
2020-04-01 00:00:00,1001396452,30279304,686,7,280.423,0
2020-04-01 00:00:00,1001396452,30417042,3741,9,450.325,0
2020-04-01 00:00:00,1001396452,30417042,3251,5,266.037,0
2020-04-01 00:00:00,1001396452,30279304,240,3,255.599,0
2020-04-01 00:00:00,1001718067,30376558,75160,43,570.765,0
2020-04-01 00:00:00,1001289337,28439198,82,0,0.0,0
2020-04-01 00:00:00,1001718067,30376559,4391,4,58.792,0
2020-04-01 00:00:00,1001718067,30376559,67093,36,592.209,0
2020-04-01 00:00:00,1001396452,30279305,816,1,82.48,0
2020-04-01 00:00:00,1001289337,28439198,558,3,486.791,0
2020-04-01 00:00:00,1001289337,28439198,48,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,62,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,3482,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,289,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,630,0,0.0,0
2020-04-01 00:00:00,1001388197,30165046,2,0,0.0,0
2020-04-01 00:00:00,1001388197,30411163,3153,2,202.606,0
2020-04-01 00:00:00,1001854178,30305888,7617,15,4752.712,0
2020-04-01 00:00:00,1001718067,30376558,29511,15,339.257,0
2020-04-01 00:00:00,1001289337,24471017,1089,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,139,0,0.0,0
2020-04-01 00:00:00,1001854178,30284389,2435,6,579.032,0
2020-04-01 00:00:00,1001388197,30411164,957,2,315.441,0
2020-04-01 00:00:00,1001388197,30411164,424,0,0.0,0
2020-04-01 00:00:00,1001388197,30411163,23480,15,1398.252,1
2020-04-01 00:00:00,1001396452,30136449,6253,11,917.963,0
2020-04-01 00:00:00,1001388197,30411164,1078,2,104.957,0
2020-04-01 00:00:00,1001388197,30411164,7196,3,209.689,0
2020-04-01 00:00:00,1001388197,30411163,294440,218,21055.629,1
2020-04-01 00:00:00,1001396452,30417042,1570,2,129.466,0
